# formica run 1  ended: manual save  at day 12704.8
# events:
# 80.1	DORMANCY at 13.9C
# 222.0	REACTIVATION at 12.0C
# 417.0	DORMANCY at 18.2C
# 587.0	REACTIVATION at 12.0C
# 782.0	DORMANCY at 18.2C
# 952.0	REACTIVATION at 12.0C
# 1147.0	DORMANCY at 18.2C
# 1317.0	REACTIVATION at 12.0C
# 1512.0	DORMANCY at 18.2C
# 1682.0	REACTIVATION at 12.0C
# 1877.0	DORMANCY at 18.2C
# 2047.0	REACTIVATION at 12.0C
# 2242.0	DORMANCY at 18.2C
# 2412.0	REACTIVATION at 12.0C
# 2607.0	DORMANCY at 18.2C
# 2777.0	REACTIVATION at 12.0C
# 2972.0	DORMANCY at 18.2C
# 3142.0	REACTIVATION at 12.0C
# 3337.0	DORMANCY at 18.2C
# 3507.0	REACTIVATION at 12.0C
# 3702.0	DORMANCY at 18.2C
# 3872.0	REACTIVATION at 12.0C
# 4067.0	DORMANCY at 18.2C
# 4237.0	REACTIVATION at 12.0C
# 4432.0	DORMANCY at 18.2C
# 4602.0	REACTIVATION at 12.0C
# 4797.0	DORMANCY at 18.2C
# 4967.0	REACTIVATION at 12.0C
# 5162.0	DORMANCY at 18.2C
# 5332.0	REACTIVATION at 12.0C
# 5527.0	DORMANCY at 18.2C
# 5697.0	REACTIVATION at 12.0C
# 5878.6	QUEEN DIED (senescence)
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals
570.8	9.94	0.250	60	60	200	3.33	0	165	0	0	21	16.3	1.585	303.0	195.0	79.0	1	0.00	60	0	1	42	371
580.9	11.17	0.309	60	60	200	3.33	0	165	0	0	21	13.8	1.577	305.8	195.0	83.0	1	0.00	60	0	1	42	371
590.9	12.54	0.377	60	60	200	3.33	0	165	3	0	21	10.7	1.567	309.2	3.9	0.0	0	0.00	60	0	1	42	371
600.9	14.02	0.451	60	60	200	3.33	0	165	165	0	21	7.0	1.554	313.4	13.9	0.0	0	0.00	60	0	1	42	371
610.9	15.55	0.528	60	60	200	3.33	0	165	165	0	21	3.2	1.529	318.3	23.9	0.0	0	0.00	60	0	1	42	371
620.9	17.10	0.605	60	60	200	3.33	0	165	165	0	21	1.3	1.459	323.9	33.9	0.0	0	0.00	60	0	1	42	371
630.9	18.61	0.681	60	54	200	3.33	0	120	119	1	0	30.3	1.507	330.4	43.9	0.0	0	0.00	60	0	1	42	404
640.9	20.05	0.752	60	52	200	3.33	0	55	53	3	0	40.3	1.600	337.5	53.9	0.0	0	0.00	60	0	1	42	416
650.9	21.37	0.818	62	55	200	3.23	0	30	26	2	0	41.2	1.570	345.4	63.9	0.0	0	0.00	62	0	1	42	500
660.9	22.52	0.876	64	50	200	3.13	0	12	9	8	0	41.7	1.566	353.9	73.9	0.0	0	0.00	64	0	1	42	554
670.9	23.49	0.925	70	46	200	2.86	1	6	6	2	0	47.7	1.483	362.9	83.9	0.0	0	0.00	71	1	1	42	575
680.9	24.23	0.962	71	55	200	2.82	0	3	3	1	0	44.9	1.525	372.3	93.9	0.0	0	0.00	73	2	1	42	581
690.9	24.73	0.987	70	54	200	2.86	0	2	2	0	0	44.5	1.572	382.1	103.9	0.0	0	0.00	74	4	1	42	584
700.9	24.98	0.999	68	30	200	2.94	44	3	0	2	22	43.0	1.593	392.0	113.9	0.0	0	1.47	74	6	1	42	600
